,Shot rate,002.Opening  time [s],009. Plasticizing  time [s],008.Filling  time [s],015.Peak  value Inj.  Pressure  [psi],016. Change- over Inj.  Pressure  [psi],012.Min.melt  cushion [in],014.Volume  for end HP  [in],111.Cooling  time [s],112.Holding  pressure  time [s],092.Peak  value  Holding  pressure  [psi],136.Injection  volume [in],056.current  time [s],machine_id,order,datetime,filepath,group_id
10,6345,13.43,42.93,4.14,2061.0,2057.0,1.11,1.17,48.35,9.45,1205.0,12.23,6.18,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
11,6346,13.24,39.07,4.14,2048.0,2046.0,1.13,1.18,49.77,9.45,1205.0,12.21,6.2,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
12,6347,13.39,40.58,4.14,2006.0,2007.0,1.1,1.15,49.99,9.45,1207.0,12.23,6.22,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
13,6348,13.45,40.73,4.14,2058.0,2057.0,1.11,1.17,49.26,9.45,1205.0,12.22,6.23,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
14,6349,13.35,39.97,4.14,2091.0,2089.0,1.09,1.12,48.78,9.45,1205.0,12.26,6.25,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
15,6350,13.35,39.54,4.14,2045.0,2045.0,1.14,1.19,54.16,9.45,1205.0,12.19,6.26,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
16,6351,13.41,44.91,4.14,2090.0,2081.0,1.14,1.19,52.31,9.45,1204.0,12.2,6.28,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
17,6352,13.37,43.05,4.14,2065.0,2061.0,1.15,1.2,52.47,9.45,1204.0,12.2,6.3,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
18,6353,13.41,43.24,4.14,2055.0,2055.0,1.12,1.18,50.26,9.45,1204.0,12.22,6.31,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
19,6354,13.31,41.0,4.14,2075.0,2074.0,1.13,1.19,47.61,9.45,1205.0,12.2,6.33,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:37:23,./test_data2/imm2_6354.xls,2
20,6155,13.34,38.52,4.14,2077.0,2074.0,1.11,1.16,50.32,9.45,1204.0,12.23,0.56,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
21,6156,13.37,41.09,4.14,2116.0,2113.0,1.13,1.16,50.39,9.45,1204.0,12.2,0.58,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
22,6157,13.31,41.16,4.15,2163.0,2160.0,1.13,1.17,50.46,9.45,1205.0,12.21,0.59,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
23,6158,13.25,41.26,4.15,2120.0,2119.0,1.13,1.17,49.07,9.45,1204.0,12.21,1.01,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
24,6159,13.21,39.89,4.14,2106.0,2104.0,1.13,1.17,48.13,9.45,1204.0,12.2,1.02,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
25,6160,13.19,38.96,4.14,2110.0,2104.0,1.17,1.2,50.34,9.45,1205.0,12.17,1.04,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
26,6161,13.31,41.19,4.15,2135.0,2133.0,1.14,1.17,50.67,9.45,1204.0,12.2,1.06,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
27,6162,13.29,41.46,4.14,2133.0,2132.0,1.13,1.17,47.27,9.45,1205.0,12.22,1.07,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
28,6163,13.21,38.07,4.15,2147.0,2145.0,1.15,1.19,50.33,9.45,1204.0,12.19,1.09,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
29,6164,13.31,41.19,4.14,2123.0,2125.0,1.15,1.19,47.34,9.45,1204.0,12.19,1.1,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
30,6165,13.29,38.13,4.15,2125.0,2120.0,1.15,1.19,46.95,9.45,1205.0,12.2,1.12,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
31,6166,13.26,37.75,4.14,2084.0,2081.0,1.1,1.11,48.61,9.45,1205.0,12.24,1.13,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
32,6167,13.21,39.42,4.14,2109.0,2104.0,1.15,1.19,48.3,9.45,1205.0,12.19,1.15,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
33,6168,13.33,39.13,4.14,2097.0,2097.0,1.09,1.11,49.03,9.45,1205.0,12.25,1.16,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
34,6169,13.26,39.82,4.15,2110.0,2107.0,1.09,1.11,48.49,9.45,1205.0,12.26,1.18,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
35,6170,13.15,39.31,4.14,2094.0,2099.0,1.13,1.16,49.01,9.45,1204.0,12.22,1.2,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
36,6171,13.16,39.87,4.14,2104.0,2102.0,1.16,1.2,51.21,9.45,1205.0,12.18,1.21,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
37,6172,13.31,42.07,4.14,2115.0,2115.0,1.15,1.19,49.75,9.45,1205.0,12.2,1.23,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
38,6173,13.1,40.54,4.15,2165.0,2167.0,1.15,1.18,51.63,9.45,1204.0,12.19,1.24,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
39,6174,13.25,42.51,4.14,2115.0,2112.0,1.16,1.21,51.48,9.45,1205.0,12.18,1.26,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 01:30:59,./test_data2/imm2_6174.xls,2
40,6195,13.21,39.69,4.14,2102.0,2100.0,1.13,1.17,49.38,9.45,1204.0,12.21,1.59,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
41,6196,13.25,40.2,4.14,2089.0,2090.0,1.15,1.19,48.99,9.45,1204.0,12.19,2.01,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
42,6197,13.19,39.8,4.14,2103.0,2099.0,1.14,1.19,52.31,9.45,1205.0,12.2,2.03,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
43,6198,13.37,43.16,4.14,2077.0,2077.0,1.13,1.18,49.06,9.45,1202.0,12.21,2.04,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
44,6199,13.56,39.79,4.14,2119.0,2055.0,1.12,1.16,44.35,9.45,1205.0,12.22,2.14,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
45,6200,13.39,34.97,4.15,2193.0,2187.0,1.16,1.19,46.93,9.45,1204.0,12.18,2.16,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
46,6201,13.33,37.67,4.14,2090.0,2089.0,1.1,1.14,48.56,9.45,1205.0,12.25,2.17,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
47,6202,13.36,39.35,4.14,2065.0,2064.0,1.08,1.12,47.44,9.45,1207.0,12.28,2.19,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
48,6203,13.47,38.2,4.14,2071.0,2070.0,1.12,1.16,51.07,9.45,1205.0,12.22,2.2,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
49,6204,13.41,41.77,4.14,2051.0,2048.0,1.12,1.16,51.98,9.45,1205.0,12.21,2.22,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
50,6205,13.23,42.74,4.14,2057.0,2052.0,1.1,1.15,51.29,9.45,1205.0,12.24,2.23,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
51,6206,13.35,42.11,4.14,2060.0,2061.0,1.13,1.17,50.68,9.45,1204.0,12.2,2.25,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
52,6207,13.29,41.46,4.14,2065.0,2062.0,1.12,1.17,51.14,9.45,1205.0,12.22,2.27,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
53,6208,13.41,41.95,4.14,2084.0,2084.0,1.11,1.14,49.19,9.45,1207.0,12.24,2.28,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
54,6209,13.26,39.94,4.14,2055.0,2055.0,1.13,1.19,49.79,9.45,1204.0,12.22,2.3,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
55,6210,13.33,40.59,4.14,2054.0,2044.0,1.15,1.21,48.88,9.45,1204.0,12.19,2.31,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
56,6211,13.31,39.66,4.14,2044.0,2041.0,1.16,1.22,52.08,9.45,1204.0,12.19,2.33,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
57,6212,13.24,42.86,4.14,2062.0,2057.0,1.15,1.21,52.3,9.45,1205.0,12.19,2.35,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
58,6213,13.27,43.11,4.14,2086.0,2083.0,1.16,1.22,52.06,9.45,1204.0,12.18,2.36,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
59,6214,13.38,42.86,4.14,2086.0,2083.0,1.13,1.19,50.94,9.45,1205.0,12.2,2.38,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 02:42:49,./test_data2/imm2_6214.xls,2
60,6315,13.29,43.49,4.14,2029.0,2029.0,1.1,1.13,49.39,9.45,1204.0,12.24,5.3,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
61,6316,13.22,40.21,4.14,2089.0,2087.0,1.15,1.21,52.4,9.45,1205.0,12.19,5.32,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
62,6317,13.37,43.25,4.14,2041.0,2042.0,1.13,1.17,48.83,9.45,1205.0,12.22,5.33,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
63,6318,13.31,39.59,4.14,2054.0,2049.0,1.07,1.12,49.09,9.45,1205.0,12.27,5.35,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
64,6319,13.29,39.87,4.14,2052.0,2048.0,1.13,1.18,48.57,9.45,1204.0,12.22,5.37,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
65,6320,13.47,39.37,4.14,2054.0,2052.0,1.11,1.17,49.91,9.45,1205.0,12.23,5.38,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
66,6321,13.45,40.61,4.14,2055.0,2055.0,1.12,1.17,50.12,9.45,1204.0,12.22,5.4,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
67,6322,13.39,40.82,4.14,2058.0,2058.0,1.07,1.11,48.69,9.45,1205.0,12.26,5.41,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
68,6323,13.53,39.43,4.14,2065.0,2067.0,1.17,1.23,52.99,9.45,1204.0,12.17,5.43,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
69,6324,13.43,43.68,4.14,2068.0,2067.0,1.15,1.22,53.06,9.45,1204.0,12.19,5.45,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
70,6325,13.47,43.77,4.14,2031.0,2029.0,1.16,1.23,52.8,9.45,1204.0,12.18,5.46,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
71,6326,13.49,43.5,4.14,2089.0,2083.0,1.15,1.21,48.22,9.45,1205.0,12.19,5.48,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
72,6327,13.34,38.9,4.14,2081.0,2080.0,1.14,1.2,53.21,9.45,1204.0,12.2,5.49,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
73,6328,13.39,43.99,4.14,2064.0,2062.0,1.14,1.2,50.61,9.45,1205.0,12.2,5.51,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
74,6329,13.34,41.34,4.14,2075.0,2074.0,1.15,1.2,49.69,9.45,1204.0,12.19,5.53,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
75,6330,13.24,40.44,4.14,2054.0,2051.0,1.13,1.18,50.84,9.45,1205.0,12.21,5.54,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
76,6331,13.43,41.67,4.14,2029.0,2028.0,1.11,1.17,50.11,9.45,1204.0,12.23,5.56,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
77,6332,13.28,40.83,4.14,2036.0,2033.0,1.13,1.2,51.03,9.45,1204.0,12.2,5.57,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
78,6333,13.39,41.81,4.14,2080.0,2078.0,1.13,1.19,48.84,9.45,1204.0,12.2,5.59,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
79,6334,13.33,39.57,4.14,2094.0,2090.0,1.14,1.2,53.33,9.45,1204.0,12.2,6.01,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 06:05:37,./test_data2/imm2_6334.xls,2
80,6095,13.28,39.53,4.14,2118.0,2115.0,1.14,1.19,51.48,9.45,1205.0,12.2,23.22,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
81,6096,13.31,42.29,4.15,2147.0,2147.0,1.18,1.23,50.92,9.45,1204.0,12.16,23.23,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
82,6097,13.24,41.69,4.15,2141.0,2141.0,1.13,1.16,48.35,9.45,1205.0,12.2,23.25,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
83,6098,13.24,39.16,4.15,2144.0,2139.0,1.17,1.22,50.75,9.45,1204.0,12.16,23.26,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
84,6099,13.33,41.57,4.15,2142.0,2139.0,1.13,1.15,47.99,9.45,1204.0,12.22,23.28,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
85,6100,13.25,38.76,4.15,2152.0,2148.0,1.17,1.22,50.47,9.45,1204.0,12.17,23.3,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
86,6101,13.21,41.3,4.15,2154.0,2151.0,1.13,1.17,48.27,9.45,1205.0,12.21,23.31,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
87,6102,13.3,39.11,4.15,2116.0,2113.0,1.16,1.21,49.77,9.45,1204.0,12.18,23.33,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
88,6103,13.31,40.55,4.14,2119.0,2119.0,1.11,1.13,48.67,9.45,1205.0,12.23,23.34,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
89,6104,13.26,39.45,4.15,2133.0,2131.0,1.15,1.18,48.21,9.45,1204.0,12.19,23.36,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
90,6105,13.33,39.02,4.15,2131.0,2128.0,1.13,1.16,48.89,9.45,1204.0,12.21,23.37,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
91,6106,13.26,39.67,4.14,2122.0,2118.0,1.18,1.23,49.73,9.45,1204.0,12.17,23.39,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
92,6107,13.16,40.53,4.15,2193.0,2184.0,1.19,1.22,50.41,9.45,1204.0,12.16,23.41,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
93,6108,13.27,41.28,4.15,2164.0,2158.0,1.2,1.24,51.36,9.45,1205.0,12.15,23.42,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
94,6109,13.27,42.17,4.15,2157.0,2152.0,1.14,1.17,51.13,9.45,1205.0,12.2,23.44,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
95,6110,13.33,41.94,4.14,2096.0,2094.0,1.11,1.14,47.21,9.45,1207.0,12.24,23.45,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
96,6111,13.31,37.98,4.15,2155.0,2152.0,1.17,1.21,50.24,9.45,1204.0,12.17,23.47,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
97,6112,13.25,41.02,4.15,2152.0,2152.0,1.12,1.16,47.45,9.45,1205.0,12.22,23.49,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
98,6113,13.18,38.27,4.15,2141.0,2141.0,1.18,1.24,50.18,9.45,1204.0,12.16,23.5,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
99,6114,13.29,41.03,4.15,2139.0,2136.0,1.17,1.22,49.47,9.45,1204.0,12.18,23.52,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-08 23:56:36,./test_data2/imm2_6114.xls,2
100,6275,13.41,39.68,4.14,2077.0,2075.0,1.09,1.13,49.07,9.45,1205.0,12.25,4.26,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
101,6276,13.31,39.81,4.14,2083.0,2081.0,1.13,1.19,53.81,9.45,1204.0,12.21,4.28,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
102,6277,13.42,44.58,4.15,2096.0,2090.0,1.13,1.19,49.99,9.45,1204.0,12.2,4.29,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
103,6278,13.39,40.72,4.14,2064.0,2062.0,1.15,1.21,52.21,9.45,1204.0,12.19,4.31,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
104,6279,13.37,42.95,4.14,2090.0,2084.0,1.14,1.2,52.11,9.45,1204.0,12.19,4.33,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
105,6280,13.31,42.87,4.14,2077.0,2073.0,1.13,1.18,50.37,9.45,1204.0,12.21,4.34,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
106,6281,13.46,41.15,4.14,2052.0,2049.0,1.11,1.17,49.5,9.45,1205.0,12.23,4.36,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
107,6282,13.46,40.19,4.14,2029.0,2026.0,1.1,1.15,52.5,9.45,1204.0,12.24,4.37,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
108,6283,13.4,43.2,4.14,2083.0,2083.0,1.15,1.21,51.65,9.45,1205.0,12.19,4.39,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
109,6284,13.34,42.41,4.14,2115.0,2115.0,1.15,1.19,48.04,9.45,1205.0,12.21,4.41,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
110,6285,13.43,38.8,4.14,2065.0,2065.0,1.13,1.18,53.18,9.45,1205.0,12.2,4.42,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
111,6286,13.43,43.92,4.14,2046.0,2046.0,1.16,1.22,51.88,9.45,1204.0,12.19,4.44,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
112,6287,13.33,42.61,4.14,2052.0,2048.0,1.13,1.18,48.54,9.45,1202.0,12.21,4.45,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
113,6288,13.41,39.32,4.14,2084.0,2081.0,1.13,1.19,48.91,9.45,1205.0,12.21,4.47,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
114,6289,13.43,39.64,4.14,2090.0,2094.0,1.15,1.19,48.35,9.45,1204.0,12.19,4.49,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
115,6290,13.34,39.06,4.14,2067.0,2062.0,1.16,1.22,51.42,9.45,1204.0,12.17,4.5,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
116,6291,13.35,42.19,4.14,2073.0,2070.0,1.13,1.18,49.47,9.45,1204.0,12.22,4.52,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
117,6292,13.42,40.24,4.14,2064.0,2065.0,1.15,1.2,52.54,9.45,1204.0,12.19,4.53,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
118,6293,13.4,43.26,4.14,2058.0,2055.0,1.16,1.22,52.79,9.45,1204.0,12.18,4.55,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
119,6294,13.36,43.52,4.14,2039.0,2038.0,1.1,1.14,48.53,9.45,1205.0,12.24,4.57,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 05:01:27,./test_data2/imm2_6294.xls,2
120,6215,13.3,41.67,4.14,2055.0,2049.0,1.1,1.15,51.69,9.45,1204.0,12.23,2.39,Battenfeld UNILOG B8,Order no.: 140839-100,2022-02-09 03:16:13,./test_data2/imm2_6234.xls,2
